,sentiments_x1
0,Not Valid
1,Not Valid
2,Not Valid
3,Not Valid
4,0.8501580953598022
5,0.7649362087249756
6,0.9147961139678955
7,Not Valid
8,Not Valid
9,Not Valid
10,0.9623323082923889
11,Not Valid
12,Not Valid
13,Not Valid
14,0.9936342835426331
15,Not Valid
16,Not Valid
17,Not Valid
18,Not Valid
19,Not Valid
20,Not Valid
21,Not Valid
22,0.07085391879081726
23,Not Valid
24,Not Valid
25,Not Valid
26,Not Valid
27,Not Valid
28,Not Valid
29,0.9303339123725891
30,Not Valid
31,Not Valid
32,0.03187459707260132
33,Not Valid
34,Not Valid
35,Not Valid
36,Not Valid
37,0.9699112176895142
38,Not Valid
39,0.20598867535591125
40,Not Valid
41,Not Valid
42,Not Valid
43,Not Valid
44,0.8067593574523926
45,Not Valid
46,0.9094625115394592
47,Not Valid
48,Not Valid
49,Not Valid
50,Not Valid
51,0.830514132976532
52,Not Valid
53,0.11463525891304016
54,0.22142770886421204
55,Not Valid
56,Not Valid
57,Not Valid
58,Not Valid
59,Not Valid
60,0.9671626091003418
61,0.06583255529403687
62,Not Valid
63,Not Valid
64,Not Valid
65,Not Valid
66,Not Valid
67,Not Valid
68,Not Valid
69,0.08550596237182617
70,Not Valid
71,Not Valid
72,Not Valid
73,Not Valid
74,0.1075620949268341
75,Not Valid
76,0.1269037127494812
77,0.5
78,Not Valid
79,Not Valid
80,Not Valid
81,Not Valid
82,Not Valid
83,Not Valid
84,Not Valid
85,Not Valid
86,0.03683391213417053
87,Not Valid
88,Not Valid
89,Not Valid
90,Not Valid
91,Not Valid
92,Not Valid
93,Not Valid
94,0.9348491430282593
95,Not Valid
96,Not Valid
97,0.0738610029220581
98,Not Valid
99,Not Valid
100,Not Valid
101,Not Valid
102,Not Valid
103,Not Valid
104,Not Valid
105,0.18736404180526733
106,Not Valid
107,Not Valid
108,0.8145288825035095
109,Not Valid
110,0.22404947876930237
111,Not Valid
112,Not Valid
113,Not Valid
114,Not Valid
115,0.8562489748001099
116,0.07585442066192627
