,sentiments_x2
344,Not Valid
345,Not Valid
346,0.7306640148162842
347,0.9317550659179688
348,Not Valid
349,0.0742112398147583
350,0.018826663494110107
351,0.916924238204956
352,0.5
353,0.16928145289421082
354,0.9916931390762329
355,0.9554715156555176
356,0.810425877571106
357,0.028051137924194336
358,Not Valid
359,0.5
360,Not Valid
361,Not Valid
362,0.9860668182373047
363,0.13475078344345093
364,0.8912224173545837
365,Not Valid
366,0.011702209711074829
367,Not Valid
368,Not Valid
369,0.5
370,Not Valid
371,0.9972559213638306
372,Not Valid
373,0.17642948031425476
374,Not Valid
375,0.9449136257171631
376,0.16215753555297852
377,0.9795159697532654
378,0.06107419729232788
379,0.13389122486114502
380,Not Valid
381,0.1099778413772583
382,Not Valid
383,Not Valid
384,0.9045618772506714
385,0.17375826835632324
386,0.030621051788330078
387,Not Valid
388,Not Valid
389,Not Valid
390,0.085765540599823
391,0.5
392,0.24081707000732422
393,0.7819246053695679
394,0.06503593921661377
395,0.0173320472240448
396,Not Valid
397,0.1465051770210266
398,0.06720554828643799
399,Not Valid
400,Not Valid
401,0.21890303492546082
402,0.8754444718360901
403,0.5
404,0.2623410224914551
405,0.015663623809814453
406,0.1037822961807251
407,0.8569698333740234
408,0.906380295753479
409,0.22727006673812866
410,0.022106647491455078
411,Not Valid
412,Not Valid
413,Not Valid
414,0.040856778621673584
415,0.044836193323135376
416,0.7843902111053467
417,0.04160261154174805
418,0.20617619156837463
419,Not Valid
420,0.18209466338157654
421,0.03950345516204834
422,0.05154120922088623
423,0.24685901403427124
424,0.7965624332427979
425,0.7802706956863403
426,0.9898922443389893
427,0.5
428,0.8534847497940063
429,Not Valid
430,0.20477929711341858
431,0.9510519504547119
432,Not Valid
433,Not Valid
434,0.19010034203529358
435,0.1532542109489441
436,0.05982425808906555
437,0.031145840883255005
438,Not Valid
439,0.7360142469406128
440,0.21623384952545166
441,Not Valid
442,Not Valid
443,0.5
444,Not Valid
445,Not Valid
446,Not Valid
447,0.9602048397064209
448,Not Valid
449,0.0957329273223877
450,0.12575846910476685
451,0.10392358899116516
452,0.061512500047683716
453,Not Valid
454,Not Valid
455,0.9484924077987671
456,0.018070518970489502
457,Not Valid
458,0.2478846311569214
459,0.8471511602401733
460,0.01281505823135376
461,Not Valid
462,0.6917563080787659
463,Not Valid
464,Not Valid
465,Not Valid
466,Not Valid
467,0.02302446961402893
468,Not Valid
469,Not Valid
470,0.05217611789703369
471,Not Valid
472,0.979498565196991
473,Not Valid
474,Not Valid
475,0.17466679215431213
476,0.18941175937652588
477,0.7538373470306396
478,Not Valid
479,0.17815789580345154
480,Not Valid
481,Not Valid
482,Not Valid
483,Not Valid
484,Not Valid
485,0.06769788265228271
486,0.051287055015563965
487,Not Valid
488,Not Valid
489,Not Valid
490,Not Valid
491,0.7574737071990967
492,0.07469087839126587
493,0.016717195510864258
494,Not Valid
495,0.0708148181438446
496,0.7853437662124634
497,0.008203476667404175
498,0.07423782348632812
499,Not Valid
500,Not Valid
501,Not Valid
502,Not Valid
503,Not Valid
504,Not Valid
505,Not Valid
506,0.12882137298583984
507,Not Valid
508,Not Valid
509,Not Valid
510,Not Valid
511,0.05961799621582031
512,Not Valid
513,0.0913170576095581
514,Not Valid
515,0.1400696337223053
516,0.061512500047683716
517,0.11058008670806885
518,Not Valid
519,Not Valid
520,Not Valid
521,Not Valid
522,0.9218277931213379
523,Not Valid
524,0.861639678478241
