,sentiments_y
396,Not Valid
397,Not Valid
398,Not Valid
399,Not Valid
400,Not Valid
401,Not Valid
402,Not Valid
403,Not Valid
404,Not Valid
405,Not Valid
406,Not Valid
407,Not Valid
408,Not Valid
409,Not Valid
410,Not Valid
411,Not Valid
412,Not Valid
413,Not Valid
414,Not Valid
415,Not Valid
416,Not Valid
417,Not Valid
418,Not Valid
419,Not Valid
420,Not Valid
421,Not Valid
422,Not Valid
423,Not Valid
424,Not Valid
425,Not Valid
426,Not Valid
427,Not Valid
428,Not Valid
429,Not Valid
430,Not Valid
431,Not Valid
432,0.8850325345993042
433,Not Valid
434,Not Valid
435,Not Valid
436,Not Valid
437,Not Valid
438,Not Valid
439,Not Valid
440,Not Valid
441,Not Valid
442,0.5
443,0.5
444,Not Valid
445,Not Valid
446,Not Valid
447,Not Valid
448,Not Valid
449,Not Valid
450,Not Valid
451,Not Valid
452,Not Valid
453,Not Valid
454,Not Valid
455,Not Valid
456,Not Valid
457,Not Valid
458,Not Valid
459,Not Valid
460,Not Valid
461,Not Valid
462,Not Valid
463,Not Valid
464,Not Valid
465,Not Valid
466,Not Valid
467,Not Valid
468,Not Valid
469,0.10622027516365051
470,Not Valid
471,Not Valid
472,Not Valid
473,Not Valid
474,Not Valid
475,Not Valid
476,Not Valid
477,Not Valid
478,Not Valid
479,Not Valid
480,Not Valid
481,Not Valid
482,Not Valid
483,Not Valid
484,Not Valid
485,Not Valid
486,Not Valid
487,Not Valid
488,Not Valid
489,Not Valid
490,Not Valid
491,Not Valid
492,Not Valid
493,Not Valid
494,Not Valid
495,Not Valid
496,Not Valid
497,Not Valid
498,Not Valid
499,Not Valid
500,Not Valid
501,Not Valid
502,Not Valid
503,Not Valid
504,Not Valid
505,Not Valid
506,Not Valid
507,Not Valid
508,Not Valid
509,Not Valid
510,Not Valid
511,Not Valid
512,Not Valid
513,Not Valid
514,Not Valid
515,Not Valid
516,Not Valid
517,Not Valid
518,Not Valid
519,Not Valid
520,Not Valid
521,Not Valid
522,Not Valid
523,Not Valid
524,Not Valid
525,Not Valid
526,Not Valid
527,Not Valid
528,0.8838747143745422
529,Not Valid
530,Not Valid
531,Not Valid
532,0.8991856575012207
533,Not Valid
534,Not Valid
535,Not Valid
536,Not Valid
537,Not Valid
538,Not Valid
539,Not Valid
540,Not Valid
541,Not Valid
542,Not Valid
543,0.5
544,Not Valid
545,Not Valid
546,Not Valid
547,Not Valid
548,Not Valid
549,Not Valid
550,Not Valid
551,Not Valid
552,Not Valid
553,Not Valid
554,Not Valid
555,Not Valid
556,Not Valid
557,Not Valid
558,Not Valid
559,Not Valid
560,Not Valid
561,Not Valid
562,Not Valid
563,Not Valid
564,Not Valid
565,Not Valid
566,Not Valid
567,Not Valid
568,Not Valid
569,Not Valid
570,Not Valid
571,Not Valid
572,Not Valid
573,Not Valid
574,Not Valid
575,Not Valid
576,Not Valid
577,Not Valid
578,Not Valid
579,Not Valid
580,Not Valid
581,Not Valid
582,Not Valid
583,Not Valid
584,Not Valid
585,Not Valid
586,Not Valid
587,Not Valid
588,Not Valid
589,Not Valid
590,Not Valid
591,Not Valid
592,Not Valid
593,Not Valid
594,Not Valid
595,Not Valid
596,Not Valid
597,Not Valid
598,Not Valid
