,sentiments_y
1656,Not Valid
1657,Not Valid
1658,Not Valid
1659,Not Valid
1660,Not Valid
1661,Not Valid
1662,Not Valid
1663,Not Valid
1664,Not Valid
1665,Not Valid
1666,Not Valid
1667,Not Valid
1668,Not Valid
1669,Not Valid
1670,Not Valid
1671,Not Valid
1672,Not Valid
1673,Not Valid
1674,Not Valid
1675,Not Valid
1676,Not Valid
1677,Not Valid
1678,Not Valid
1679,Not Valid
1680,Not Valid
1681,Not Valid
1682,Not Valid
1683,Not Valid
1684,Not Valid
1685,Not Valid
1686,Not Valid
1687,Not Valid
1688,Not Valid
1689,Not Valid
1690,Not Valid
1691,Not Valid
1692,Not Valid
1693,Not Valid
1694,Not Valid
1695,Not Valid
1696,Not Valid
1697,Not Valid
1698,Not Valid
1699,Not Valid
1700,Not Valid
1701,Not Valid
1702,Not Valid
1703,Not Valid
1704,Not Valid
1705,Not Valid
1706,Not Valid
1707,Not Valid
1708,Not Valid
1709,Not Valid
1710,Not Valid
1711,Not Valid
1712,Not Valid
1713,Not Valid
1714,Not Valid
1715,Not Valid
1716,Not Valid
1717,Not Valid
1718,Not Valid
1719,Not Valid
1720,Not Valid
1721,Not Valid
1722,Not Valid
1723,Not Valid
1724,Not Valid
1725,Not Valid
1726,Not Valid
1727,Not Valid
1728,Not Valid
1729,Not Valid
1730,Not Valid
1731,Not Valid
1732,Not Valid
1733,Not Valid
1734,Not Valid
1735,Not Valid
1736,Not Valid
1737,Not Valid
1738,Not Valid
1739,Not Valid
1740,Not Valid
1741,Not Valid
1742,Not Valid
1743,Not Valid
1744,Not Valid
1745,Not Valid
1746,Not Valid
1747,Not Valid
1748,Not Valid
1749,Not Valid
1750,Not Valid
1751,Not Valid
1752,Not Valid
1753,Not Valid
1754,Not Valid
1755,Not Valid
1756,Not Valid
1757,Not Valid
1758,Not Valid
1759,Not Valid
1760,Not Valid
1761,Not Valid
1762,Not Valid
1763,Not Valid
1764,Not Valid
1765,Not Valid
1766,Not Valid
1767,Not Valid
1768,Not Valid
1769,Not Valid
1770,Not Valid
1771,Not Valid
1772,Not Valid
1773,Not Valid
1774,Not Valid
1775,Not Valid
1776,Not Valid
1777,0.0003566443920135498
1778,Not Valid
1779,Not Valid
1780,Not Valid
1781,Not Valid
1782,Not Valid
1783,Not Valid
1784,Not Valid
1785,Not Valid
1786,Not Valid
1787,Not Valid
1788,Not Valid
1789,Not Valid
1790,Not Valid
1791,Not Valid
1792,Not Valid
1793,Not Valid
1794,Not Valid
1795,Not Valid
1796,Not Valid
1797,Not Valid
1798,Not Valid
1799,Not Valid
1800,Not Valid
1801,Not Valid
1802,Not Valid
1803,Not Valid
1804,Not Valid
1805,Not Valid
1806,Not Valid
1807,Not Valid
1808,Not Valid
1809,Not Valid
1810,Not Valid
1811,Not Valid
1812,Not Valid
1813,Not Valid
1814,Not Valid
1815,Not Valid
1816,Not Valid
1817,Not Valid
1818,Not Valid
1819,Not Valid
1820,Not Valid
1821,Not Valid
1822,Not Valid
1823,Not Valid
1824,Not Valid
1825,Not Valid
1826,Not Valid
1827,Not Valid
1828,Not Valid
1829,Not Valid
1830,Not Valid
1831,Not Valid
1832,Not Valid
1833,Not Valid
1834,Not Valid
1835,Not Valid
1836,Not Valid
1837,Not Valid
1838,Not Valid
1839,Not Valid
1840,Not Valid
1841,Not Valid
1842,Not Valid
1843,Not Valid
1844,Not Valid
1845,Not Valid
1846,Not Valid
1847,Not Valid
1848,Not Valid
1849,Not Valid
1850,Not Valid
1851,Not Valid
1852,Not Valid
1853,Not Valid
1854,Not Valid
1855,Not Valid
1856,Not Valid
1857,Not Valid
1858,Not Valid
1859,Not Valid
1860,Not Valid
1861,Not Valid
1862,Not Valid
1863,Not Valid
1864,Not Valid
1865,Not Valid
1866,Not Valid
1867,Not Valid
1868,Not Valid
1869,Not Valid
1870,Not Valid
1871,Not Valid
1872,Not Valid
1873,Not Valid
1874,Not Valid
1875,Not Valid
1876,Not Valid
1877,Not Valid
1878,Not Valid
1879,Not Valid
1880,Not Valid
1881,Not Valid
1882,Not Valid
1883,Not Valid
1884,Not Valid
1885,Not Valid
1886,Not Valid
1887,Not Valid
1888,Not Valid
1889,Not Valid
1890,Not Valid
1891,Not Valid
1892,Not Valid
1893,Not Valid
1894,Not Valid
1895,Not Valid
1896,Not Valid
1897,Not Valid
1898,Not Valid
1899,Not Valid
1900,Not Valid
1901,Not Valid
1902,Not Valid
1903,Not Valid
1904,Not Valid
1905,Not Valid
1906,Not Valid
1907,Not Valid
1908,Not Valid
1909,Not Valid
1910,Not Valid
1911,Not Valid
1912,Not Valid
1913,Not Valid
1914,Not Valid
1915,Not Valid
1916,Not Valid
1917,Not Valid
1918,Not Valid
1919,Not Valid
1920,Not Valid
1921,Not Valid
1922,Not Valid
1923,Not Valid
1924,Not Valid
1925,Not Valid
1926,Not Valid
1927,Not Valid
1928,Not Valid
1929,Not Valid
1930,Not Valid
1931,Not Valid
1932,Not Valid
1933,Not Valid
1934,Not Valid
1935,Not Valid
1936,Not Valid
1937,Not Valid
1938,Not Valid
1939,Not Valid
1940,Not Valid
1941,Not Valid
1942,Not Valid
1943,Not Valid
1944,Not Valid
1945,Not Valid
1946,Not Valid
1947,Not Valid
1948,Not Valid
1949,Not Valid
1950,Not Valid
1951,Not Valid
1952,Not Valid
1953,Not Valid
1954,Not Valid
1955,Not Valid
1956,Not Valid
1957,Not Valid
1958,Not Valid
1959,Not Valid
1960,Not Valid
1961,Not Valid
1962,Not Valid
1963,Not Valid
1964,Not Valid
1965,Not Valid
1966,Not Valid
1967,Not Valid
1968,Not Valid
1969,Not Valid
1970,Not Valid
1971,Not Valid
1972,0.19272419810295105
1973,Not Valid
1974,Not Valid
1975,Not Valid
1976,Not Valid
1977,Not Valid
1978,Not Valid
1979,Not Valid
1980,Not Valid
1981,Not Valid
1982,Not Valid
1983,Not Valid
1984,Not Valid
1985,Not Valid
1986,Not Valid
1987,Not Valid
1988,Not Valid
1989,Not Valid
1990,Not Valid
1991,Not Valid
1992,Not Valid
1993,Not Valid
1994,Not Valid
1995,Not Valid
1996,Not Valid
1997,Not Valid
1998,Not Valid
1999,Not Valid
2000,Not Valid
2001,Not Valid
2002,Not Valid
2003,Not Valid
2004,Not Valid
2005,Not Valid
2006,Not Valid
2007,Not Valid
2008,Not Valid
2009,Not Valid
2010,Not Valid
2011,Not Valid
2012,Not Valid
2013,Not Valid
2014,Not Valid
2015,Not Valid
2016,Not Valid
2017,Not Valid
2018,Not Valid
2019,Not Valid
2020,Not Valid
2021,Not Valid
2022,Not Valid
2023,Not Valid
2024,Not Valid
2025,Not Valid
2026,Not Valid
2027,Not Valid
2028,Not Valid
2029,Not Valid
2030,Not Valid
2031,Not Valid
2032,Not Valid
2033,Not Valid
2034,Not Valid
2035,Not Valid
2036,Not Valid
2037,Not Valid
2038,Not Valid
2039,Not Valid
2040,Not Valid
2041,Not Valid
2042,Not Valid
2043,Not Valid
2044,Not Valid
2045,Not Valid
2046,Not Valid
2047,Not Valid
2048,Not Valid
2049,Not Valid
2050,Not Valid
2051,Not Valid
2052,Not Valid
2053,Not Valid
2054,Not Valid
2055,Not Valid
2056,Not Valid
2057,Not Valid
2058,Not Valid
2059,Not Valid
2060,Not Valid
2061,Not Valid
2062,Not Valid
2063,Not Valid
2064,Not Valid
2065,Not Valid
2066,Not Valid
2067,Not Valid
2068,Not Valid
2069,Not Valid
2070,Not Valid
2071,Not Valid
2072,Not Valid
2073,Not Valid
2074,Not Valid
2075,Not Valid
2076,Not Valid
2077,Not Valid
2078,0.5
2079,Not Valid
2080,Not Valid
2081,Not Valid
2082,Not Valid
2083,Not Valid
2084,Not Valid
2085,Not Valid
2086,Not Valid
2087,Not Valid
2088,Not Valid
2089,Not Valid
2090,Not Valid
2091,Not Valid
2092,Not Valid
2093,Not Valid
2094,Not Valid
2095,Not Valid
2096,Not Valid
2097,Not Valid
2098,Not Valid
2099,Not Valid
2100,Not Valid
2101,Not Valid
2102,Not Valid
2103,Not Valid
2104,Not Valid
2105,Not Valid
2106,Not Valid
2107,Not Valid
2108,Not Valid
2109,Not Valid
2110,Not Valid
2111,Not Valid
2112,Not Valid
2113,Not Valid
2114,Not Valid
2115,Not Valid
2116,Not Valid
2117,Not Valid
2118,Not Valid
2119,Not Valid
2120,Not Valid
2121,Not Valid
2122,Not Valid
2123,Not Valid
2124,Not Valid
2125,Not Valid
2126,Not Valid
2127,0.5
2128,Not Valid
2129,Not Valid
2130,Not Valid
2131,0.9438644647598267
2132,Not Valid
2133,Not Valid
2134,Not Valid
2135,Not Valid
2136,Not Valid
2137,Not Valid
2138,Not Valid
2139,Not Valid
2140,Not Valid
2141,Not Valid
2142,Not Valid
2143,Not Valid
2144,Not Valid
2145,Not Valid
2146,Not Valid
2147,Not Valid
2148,Not Valid
2149,Not Valid
2150,Not Valid
2151,Not Valid
2152,Not Valid
2153,Not Valid
2154,Not Valid
2155,Not Valid
2156,Not Valid
2157,Not Valid
2158,Not Valid
2159,Not Valid
2160,Not Valid
2161,Not Valid
2162,Not Valid
2163,Not Valid
2164,Not Valid
2165,Not Valid
2166,Not Valid
2167,Not Valid
2168,Not Valid
2169,Not Valid
2170,Not Valid
2171,Not Valid
2172,Not Valid
2173,Not Valid
2174,Not Valid
2175,Not Valid
2176,Not Valid
2177,Not Valid
2178,Not Valid
2179,Not Valid
2180,Not Valid
2181,Not Valid
2182,Not Valid
2183,Not Valid
2184,Not Valid
2185,Not Valid
2186,Not Valid
2187,Not Valid
2188,Not Valid
2189,Not Valid
2190,Not Valid
2191,Not Valid
2192,Not Valid
2193,Not Valid
2194,Not Valid
2195,Not Valid
2196,Not Valid
2197,Not Valid
2198,Not Valid
2199,Not Valid
2200,Not Valid
2201,Not Valid
2202,Not Valid
2203,Not Valid
2204,Not Valid
2205,0.5
2206,Not Valid
2207,Not Valid
2208,Not Valid
2209,Not Valid
2210,Not Valid
2211,Not Valid
2212,Not Valid
2213,Not Valid
2214,Not Valid
2215,Not Valid
2216,Not Valid
2217,Not Valid
2218,Not Valid
2219,Not Valid
2220,Not Valid
2221,Not Valid
2222,Not Valid
2223,Not Valid
2224,Not Valid
2225,Not Valid
2226,Not Valid
2227,Not Valid
2228,Not Valid
2229,Not Valid
2230,Not Valid
2231,Not Valid
2232,Not Valid
2233,Not Valid
2234,Not Valid
2235,Not Valid
2236,Not Valid
2237,Not Valid
2238,Not Valid
2239,Not Valid
2240,Not Valid
2241,0.9022295475006104
2242,Not Valid
2243,Not Valid
2244,Not Valid
2245,Not Valid
2246,Not Valid
2247,Not Valid
2248,Not Valid
2249,Not Valid
2250,Not Valid
2251,Not Valid
2252,Not Valid
2253,Not Valid
2254,Not Valid
2255,Not Valid
2256,Not Valid
2257,Not Valid
2258,Not Valid
2259,Not Valid
2260,Not Valid
2261,Not Valid
2262,Not Valid
2263,Not Valid
2264,Not Valid
2265,Not Valid
2266,Not Valid
2267,Not Valid
2268,Not Valid
2269,Not Valid
2270,Not Valid
2271,Not Valid
2272,Not Valid
2273,Not Valid
2274,Not Valid
2275,Not Valid
2276,Not Valid
2277,Not Valid
2278,Not Valid
2279,Not Valid
2280,Not Valid
2281,Not Valid
2282,Not Valid
2283,Not Valid
2284,Not Valid
2285,Not Valid
2286,Not Valid
2287,Not Valid
2288,Not Valid
2289,Not Valid
2290,Not Valid
2291,Not Valid
2292,Not Valid
2293,Not Valid
2294,Not Valid
2295,Not Valid
2296,Not Valid
2297,Not Valid
2298,Not Valid
2299,Not Valid
2300,Not Valid
2301,Not Valid
2302,Not Valid
2303,Not Valid
2304,Not Valid
2305,Not Valid
2306,Not Valid
2307,Not Valid
2308,Not Valid
2309,Not Valid
2310,Not Valid
2311,Not Valid
2312,Not Valid
2313,Not Valid
2314,Not Valid
2315,Not Valid
2316,Not Valid
2317,Not Valid
2318,Not Valid
2319,Not Valid
2320,Not Valid
2321,Not Valid
2322,Not Valid
2323,Not Valid
2324,Not Valid
2325,Not Valid
2326,Not Valid
2327,Not Valid
2328,Not Valid
2329,Not Valid
2330,Not Valid
2331,Not Valid
2332,Not Valid
2333,Not Valid
2334,Not Valid
2335,Not Valid
2336,Not Valid
2337,Not Valid
2338,Not Valid
2339,Not Valid
2340,Not Valid
2341,Not Valid
2342,Not Valid
2343,Not Valid
2344,Not Valid
2345,Not Valid
2346,Not Valid
2347,Not Valid
2348,Not Valid
2349,Not Valid
2350,Not Valid
2351,Not Valid
2352,Not Valid
2353,Not Valid
2354,Not Valid
2355,Not Valid
2356,Not Valid
2357,Not Valid
2358,Not Valid
2359,Not Valid
2360,Not Valid
2361,Not Valid
2362,Not Valid
2363,Not Valid
2364,0.7903971076011658
2365,Not Valid
2366,Not Valid
2367,Not Valid
2368,Not Valid
2369,Not Valid
2370,Not Valid
2371,Not Valid
2372,Not Valid
2373,0.035451799631118774
2374,Not Valid
2375,Not Valid
2376,0.5
2377,Not Valid
2378,Not Valid
2379,Not Valid
2380,Not Valid
2381,Not Valid
2382,Not Valid
2383,Not Valid
2384,Not Valid
2385,Not Valid
2386,Not Valid
2387,Not Valid
2388,Not Valid
2389,Not Valid
2390,Not Valid
2391,Not Valid
2392,Not Valid
2393,Not Valid
2394,Not Valid
2395,Not Valid
2396,Not Valid
2397,Not Valid
2398,Not Valid
2399,Not Valid
2400,Not Valid
2401,Not Valid
2402,Not Valid
2403,Not Valid
2404,Not Valid
2405,Not Valid
2406,Not Valid
2407,Not Valid
2408,Not Valid
2409,Not Valid
2410,Not Valid
2411,Not Valid
2412,Not Valid
2413,Not Valid
2414,Not Valid
2415,Not Valid
2416,Not Valid
2417,Not Valid
2418,Not Valid
2419,Not Valid
2420,Not Valid
2421,Not Valid
2422,Not Valid
2423,Not Valid
2424,Not Valid
2425,Not Valid
2426,Not Valid
2427,Not Valid
2428,Not Valid
2429,Not Valid
2430,Not Valid
2431,Not Valid
2432,Not Valid
2433,Not Valid
2434,Not Valid
2435,Not Valid
2436,Not Valid
2437,Not Valid
2438,Not Valid
2439,Not Valid
2440,Not Valid
2441,Not Valid
2442,Not Valid
2443,Not Valid
2444,Not Valid
2445,Not Valid
2446,Not Valid
2447,Not Valid
2448,Not Valid
2449,Not Valid
2450,Not Valid
2451,Not Valid
2452,Not Valid
2453,Not Valid
2454,Not Valid
2455,Not Valid
2456,Not Valid
2457,Not Valid
2458,Not Valid
2459,Not Valid
2460,Not Valid
2461,Not Valid
2462,Not Valid
2463,Not Valid
2464,Not Valid
2465,Not Valid
2466,Not Valid
2467,Not Valid
2468,Not Valid
2469,Not Valid
2470,Not Valid
2471,Not Valid
2472,Not Valid
2473,Not Valid
2474,0.15794238448143005
2475,0.8971297740936279
2476,Not Valid
2477,Not Valid
2478,Not Valid
2479,Not Valid
2480,Not Valid
2481,Not Valid
2482,Not Valid
2483,Not Valid
2484,Not Valid
2485,Not Valid
2486,Not Valid
2487,Not Valid
2488,Not Valid
2489,Not Valid
2490,Not Valid
2491,Not Valid
2492,Not Valid
2493,Not Valid
2494,Not Valid
2495,Not Valid
2496,Not Valid
2497,Not Valid
2498,Not Valid
2499,Not Valid
2500,Not Valid
2501,Not Valid
2502,Not Valid
2503,Not Valid
2504,Not Valid
2505,Not Valid
2506,Not Valid
2507,Not Valid
2508,Not Valid
2509,Not Valid
2510,Not Valid
2511,Not Valid
2512,Not Valid
2513,Not Valid
2514,Not Valid
2515,Not Valid
2516,Not Valid
2517,Not Valid
2518,Not Valid
2519,Not Valid
2520,Not Valid
2521,Not Valid
2522,Not Valid
2523,Not Valid
2524,Not Valid
2525,Not Valid
2526,Not Valid
2527,Not Valid
2528,Not Valid
2529,Not Valid
2530,Not Valid
2531,Not Valid
2532,Not Valid
2533,Not Valid
2534,Not Valid
2535,Not Valid
2536,Not Valid
2537,Not Valid
2538,Not Valid
2539,Not Valid
2540,Not Valid
2541,Not Valid
2542,Not Valid
2543,Not Valid
2544,Not Valid
2545,Not Valid
2546,Not Valid
2547,Not Valid
2548,Not Valid
2549,Not Valid
2550,Not Valid
2551,Not Valid
2552,Not Valid
2553,Not Valid
2554,Not Valid
2555,Not Valid
2556,Not Valid
2557,Not Valid
2558,Not Valid
2559,Not Valid
2560,Not Valid
2561,Not Valid
2562,Not Valid
2563,Not Valid
2564,Not Valid
2565,Not Valid
2566,Not Valid
2567,Not Valid
2568,Not Valid
2569,Not Valid
2570,Not Valid
2571,Not Valid
2572,Not Valid
2573,Not Valid
2574,Not Valid
2575,Not Valid
2576,Not Valid
2577,Not Valid
2578,Not Valid
2579,Not Valid
2580,Not Valid
2581,Not Valid
2582,Not Valid
2583,Not Valid
2584,Not Valid
2585,Not Valid
2586,Not Valid
2587,Not Valid
2588,Not Valid
2589,Not Valid
2590,Not Valid
2591,Not Valid
2592,Not Valid
2593,Not Valid
2594,Not Valid
2595,Not Valid
2596,Not Valid
2597,Not Valid
2598,Not Valid
2599,Not Valid
2600,Not Valid
2601,Not Valid
2602,Not Valid
2603,Not Valid
2604,Not Valid
2605,Not Valid
2606,Not Valid
2607,Not Valid
2608,Not Valid
2609,Not Valid
2610,Not Valid
2611,Not Valid
2612,Not Valid
2613,Not Valid
2614,Not Valid
2615,Not Valid
2616,Not Valid
2617,Not Valid
2618,Not Valid
2619,Not Valid
2620,Not Valid
2621,Not Valid
2622,Not Valid
2623,Not Valid
2624,Not Valid
2625,Not Valid
2626,Not Valid
2627,Not Valid
2628,Not Valid
2629,Not Valid
2630,Not Valid
2631,Not Valid
2632,Not Valid
2633,Not Valid
2634,Not Valid
2635,Not Valid
2636,Not Valid
2637,Not Valid
2638,Not Valid
2639,Not Valid
2640,Not Valid
2641,Not Valid
2642,Not Valid
2643,Not Valid
2644,Not Valid
2645,Not Valid
2646,Not Valid
2647,Not Valid
2648,Not Valid
2649,0.5
2650,Not Valid
2651,Not Valid
2652,Not Valid
2653,Not Valid
2654,Not Valid
2655,Not Valid
2656,Not Valid
2657,Not Valid
2658,Not Valid
2659,Not Valid
2660,Not Valid
2661,Not Valid
2662,Not Valid
2663,Not Valid
2664,Not Valid
2665,Not Valid
2666,Not Valid
2667,Not Valid
2668,Not Valid
2669,Not Valid
2670,Not Valid
2671,Not Valid
2672,Not Valid
2673,Not Valid
2674,Not Valid
2675,Not Valid
2676,Not Valid
2677,Not Valid
2678,Not Valid
2679,Not Valid
2680,Not Valid
2681,Not Valid
2682,Not Valid
2683,Not Valid
2684,Not Valid
2685,Not Valid
2686,Not Valid
2687,Not Valid
2688,Not Valid
2689,Not Valid
2690,Not Valid
2691,Not Valid
2692,Not Valid
2693,Not Valid
2694,Not Valid
2695,Not Valid
2696,Not Valid
2697,Not Valid
2698,Not Valid
2699,Not Valid
2700,Not Valid
2701,Not Valid
2702,Not Valid
2703,Not Valid
2704,Not Valid
2705,Not Valid
2706,Not Valid
2707,Not Valid
2708,Not Valid
2709,Not Valid
2710,Not Valid
2711,Not Valid
2712,Not Valid
2713,Not Valid
2714,Not Valid
2715,Not Valid
2716,Not Valid
2717,Not Valid
2718,Not Valid
2719,Not Valid
2720,Not Valid
2721,Not Valid
2722,Not Valid
2723,Not Valid
2724,Not Valid
2725,Not Valid
2726,Not Valid
2727,Not Valid
2728,Not Valid
2729,Not Valid
2730,Not Valid
2731,Not Valid
2732,Not Valid
2733,Not Valid
2734,Not Valid
2735,Not Valid
2736,Not Valid
2737,0.5
2738,Not Valid
2739,Not Valid
2740,0.866121768951416
2741,Not Valid
2742,Not Valid
2743,Not Valid
2744,Not Valid
2745,Not Valid
2746,Not Valid
2747,Not Valid
2748,Not Valid
2749,Not Valid
2750,Not Valid
2751,Not Valid
2752,Not Valid
2753,Not Valid
2754,Not Valid
2755,Not Valid
2756,Not Valid
2757,Not Valid
2758,Not Valid
2759,Not Valid
2760,0.5
2761,Not Valid
2762,Not Valid
2763,Not Valid
2764,Not Valid
2765,Not Valid
2766,Not Valid
2767,Not Valid
2768,Not Valid
2769,Not Valid
2770,Not Valid
2771,Not Valid
2772,Not Valid
2773,Not Valid
2774,0.20598721504211426
2775,Not Valid
2776,Not Valid
2777,Not Valid
2778,Not Valid
2779,Not Valid
2780,Not Valid
2781,Not Valid
2782,Not Valid
2783,Not Valid
2784,Not Valid
2785,Not Valid
2786,Not Valid
2787,Not Valid
2788,Not Valid
2789,Not Valid
2790,Not Valid
2791,Not Valid
2792,Not Valid
2793,Not Valid
2794,Not Valid
2795,Not Valid
2796,Not Valid
2797,Not Valid
2798,Not Valid
2799,Not Valid
2800,Not Valid
2801,Not Valid
2802,Not Valid
2803,Not Valid
2804,Not Valid
2805,Not Valid
2806,Not Valid
2807,Not Valid
2808,Not Valid
2809,Not Valid
2810,Not Valid
2811,Not Valid
2812,Not Valid
2813,Not Valid
2814,Not Valid
2815,Not Valid
2816,Not Valid
2817,Not Valid
2818,Not Valid
2819,Not Valid
2820,Not Valid
2821,Not Valid
2822,Not Valid
2823,Not Valid
2824,Not Valid
2825,Not Valid
2826,Not Valid
2827,Not Valid
2828,Not Valid
2829,Not Valid
2830,Not Valid
2831,Not Valid
2832,Not Valid
2833,Not Valid
2834,Not Valid
2835,Not Valid
2836,Not Valid
2837,Not Valid
2838,Not Valid
2839,Not Valid
2840,Not Valid
2841,Not Valid
2842,0.7894874811172485
2843,Not Valid
2844,Not Valid
2845,Not Valid
2846,Not Valid
2847,Not Valid
2848,Not Valid
2849,Not Valid
2850,Not Valid
2851,Not Valid
2852,Not Valid
2853,Not Valid
2854,Not Valid
2855,Not Valid
2856,Not Valid
2857,Not Valid
2858,Not Valid
2859,Not Valid
2860,Not Valid
2861,Not Valid
2862,Not Valid
2863,Not Valid
2864,Not Valid
2865,Not Valid
2866,Not Valid
2867,Not Valid
2868,Not Valid
2869,Not Valid
2870,Not Valid
2871,Not Valid
2872,0.27552518248558044
2873,Not Valid
2874,Not Valid
2875,Not Valid
2876,Not Valid
2877,Not Valid
2878,Not Valid
2879,Not Valid
2880,Not Valid
2881,Not Valid
2882,Not Valid
2883,Not Valid
2884,Not Valid
2885,Not Valid
2886,Not Valid
2887,Not Valid
2888,Not Valid
2889,Not Valid
2890,Not Valid
2891,Not Valid
2892,Not Valid
2893,Not Valid
2894,Not Valid
2895,Not Valid
2896,Not Valid
2897,Not Valid
2898,Not Valid
2899,Not Valid
2900,Not Valid
2901,Not Valid
2902,Not Valid
2903,Not Valid
2904,Not Valid
2905,Not Valid
2906,Not Valid
2907,Not Valid
2908,Not Valid
2909,Not Valid
2910,Not Valid
2911,Not Valid
2912,Not Valid
2913,Not Valid
2914,Not Valid
2915,Not Valid
2916,Not Valid
2917,Not Valid
2918,Not Valid
2919,Not Valid
2920,Not Valid
2921,Not Valid
2922,Not Valid
2923,Not Valid
2924,Not Valid
2925,Not Valid
2926,Not Valid
2927,Not Valid
2928,Not Valid
2929,Not Valid
2930,Not Valid
2931,Not Valid
2932,Not Valid
2933,Not Valid
2934,Not Valid
2935,Not Valid
2936,Not Valid
2937,Not Valid
2938,Not Valid
2939,Not Valid
2940,Not Valid
2941,Not Valid
2942,Not Valid
2943,Not Valid
2944,Not Valid
2945,Not Valid
2946,Not Valid
2947,Not Valid
2948,Not Valid
2949,Not Valid
2950,Not Valid
2951,Not Valid
2952,Not Valid
2953,Not Valid
2954,Not Valid
2955,Not Valid
2956,Not Valid
2957,Not Valid
2958,Not Valid
2959,Not Valid
2960,Not Valid
2961,Not Valid
2962,Not Valid
2963,Not Valid
2964,Not Valid
2965,Not Valid
2966,Not Valid
2967,Not Valid
2968,Not Valid
2969,Not Valid
2970,Not Valid
2971,Not Valid
2972,Not Valid
2973,Not Valid
2974,Not Valid
2975,Not Valid
2976,Not Valid
2977,Not Valid
2978,Not Valid
2979,Not Valid
2980,Not Valid
2981,Not Valid
2982,Not Valid
2983,Not Valid
2984,Not Valid
2985,Not Valid
2986,Not Valid
2987,Not Valid
2988,Not Valid
2989,Not Valid
2990,Not Valid
2991,Not Valid
2992,Not Valid
2993,Not Valid
2994,Not Valid
2995,Not Valid
2996,Not Valid
2997,Not Valid
2998,Not Valid
2999,Not Valid
3000,Not Valid
3001,Not Valid
3002,Not Valid
3003,Not Valid
3004,Not Valid
3005,Not Valid
3006,Not Valid
3007,Not Valid
3008,Not Valid
3009,Not Valid
3010,Not Valid
3011,Not Valid
3012,Not Valid
3013,Not Valid
3014,Not Valid
3015,Not Valid
3016,Not Valid
3017,Not Valid
3018,Not Valid
3019,Not Valid
3020,Not Valid
3021,Not Valid
3022,Not Valid
3023,Not Valid
3024,Not Valid
3025,Not Valid
3026,Not Valid
3027,Not Valid
3028,Not Valid
3029,Not Valid
3030,Not Valid
3031,Not Valid
3032,Not Valid
3033,Not Valid
3034,Not Valid
3035,Not Valid
3036,Not Valid
3037,Not Valid
3038,Not Valid
3039,Not Valid
3040,Not Valid
3041,Not Valid
3042,Not Valid
3043,Not Valid
3044,Not Valid
3045,Not Valid
3046,Not Valid
3047,Not Valid
3048,Not Valid
3049,Not Valid
3050,Not Valid
3051,Not Valid
3052,Not Valid
3053,Not Valid
3054,Not Valid
3055,Not Valid
3056,Not Valid
3057,Not Valid
3058,Not Valid
3059,Not Valid
3060,Not Valid
3061,Not Valid
3062,Not Valid
3063,Not Valid
3064,Not Valid
3065,Not Valid
3066,Not Valid
3067,Not Valid
3068,Not Valid
3069,Not Valid
3070,Not Valid
3071,Not Valid
3072,Not Valid
3073,Not Valid
3074,Not Valid
3075,Not Valid
3076,Not Valid
3077,Not Valid
3078,Not Valid
3079,Not Valid
3080,Not Valid
3081,Not Valid
3082,Not Valid
3083,Not Valid
3084,Not Valid
3085,Not Valid
3086,Not Valid
3087,Not Valid
3088,Not Valid
3089,Not Valid
3090,Not Valid
3091,Not Valid
3092,Not Valid
3093,Not Valid
3094,Not Valid
3095,Not Valid
3096,Not Valid
3097,Not Valid
3098,Not Valid
3099,Not Valid
3100,Not Valid
3101,Not Valid
3102,Not Valid
3103,Not Valid
3104,Not Valid
3105,Not Valid
3106,Not Valid
3107,Not Valid
3108,Not Valid
3109,Not Valid
3110,Not Valid
3111,Not Valid
3112,Not Valid
3113,Not Valid
3114,Not Valid
3115,Not Valid
3116,Not Valid
3117,Not Valid
3118,Not Valid
3119,Not Valid
3120,Not Valid
3121,Not Valid
3122,Not Valid
3123,Not Valid
3124,Not Valid
3125,Not Valid
3126,Not Valid
3127,Not Valid
3128,Not Valid
3129,Not Valid
3130,Not Valid
3131,Not Valid
3132,Not Valid
3133,Not Valid
3134,Not Valid
3135,Not Valid
3136,Not Valid
3137,Not Valid
3138,Not Valid
3139,Not Valid
3140,Not Valid
3141,Not Valid
3142,Not Valid
3143,Not Valid
3144,Not Valid
3145,Not Valid
3146,Not Valid
3147,Not Valid
3148,Not Valid
3149,Not Valid
3150,Not Valid
3151,Not Valid
3152,Not Valid
3153,Not Valid
3154,Not Valid
3155,Not Valid
3156,Not Valid
3157,Not Valid
3158,Not Valid
3159,Not Valid
3160,Not Valid
3161,Not Valid
3162,Not Valid
3163,Not Valid
3164,Not Valid
3165,Not Valid
3166,Not Valid
3167,Not Valid
3168,Not Valid
3169,Not Valid
3170,Not Valid
3171,Not Valid
3172,Not Valid
3173,Not Valid
3174,Not Valid
3175,Not Valid
3176,Not Valid
3177,Not Valid
3178,Not Valid
3179,Not Valid
3180,Not Valid
3181,Not Valid
3182,Not Valid
3183,Not Valid
3184,Not Valid
3185,Not Valid
3186,Not Valid
3187,Not Valid
3188,Not Valid
3189,Not Valid
3190,Not Valid
3191,Not Valid
3192,Not Valid
3193,Not Valid
3194,Not Valid
3195,Not Valid
3196,Not Valid
3197,Not Valid
3198,Not Valid
3199,Not Valid
3200,Not Valid
3201,Not Valid
3202,Not Valid
3203,Not Valid
3204,Not Valid
3205,Not Valid
3206,Not Valid
3207,Not Valid
