,sentiments_x4
0,Not Valid
1,Not Valid
2,Not Valid
3,Not Valid
4,Not Valid
5,Not Valid
6,Not Valid
7,0.2551038861274719
8,Not Valid
9,Not Valid
10,Not Valid
11,Not Valid
12,Not Valid
13,0.7015327215194702
14,Not Valid
15,Not Valid
16,Not Valid
17,0.24969273805618286
18,Not Valid
19,Not Valid
20,0.5
21,Not Valid
22,Not Valid
23,Not Valid
24,Not Valid
25,Not Valid
26,Not Valid
27,Not Valid
28,Not Valid
29,Not Valid
30,Not Valid
31,Not Valid
32,Not Valid
33,Not Valid
34,Not Valid
35,Not Valid
36,0.06725990772247314
37,Not Valid
38,Not Valid
39,Not Valid
40,Not Valid
41,Not Valid
42,Not Valid
43,Not Valid
44,Not Valid
45,Not Valid
46,Not Valid
47,0.27330347895622253
48,0.5
49,Not Valid
50,Not Valid
51,0.830514132976532
52,0.13357192277908325
53,0.12825405597686768
54,Not Valid
55,Not Valid
56,Not Valid
57,Not Valid
58,Not Valid
59,Not Valid
60,Not Valid
61,Not Valid
62,Not Valid
63,Not Valid
64,0.2279311716556549
65,Not Valid
66,0.8899252414703369
67,Not Valid
68,Not Valid
69,Not Valid
70,Not Valid
71,Not Valid
72,Not Valid
73,Not Valid
74,Not Valid
75,Not Valid
76,0.8182200789451599
77,Not Valid
78,Not Valid
79,Not Valid
80,Not Valid
81,Not Valid
82,0.7151545882225037
83,0.10248258709907532
84,0.7023335695266724
85,0.09173977375030518
86,Not Valid
87,0.16246524453163147
88,0.11090251803398132
89,Not Valid
90,Not Valid
91,0.26034051179885864
92,0.5
93,Not Valid
94,0.9809353947639465
95,Not Valid
96,0.13652640581130981
97,Not Valid
98,Not Valid
99,0.5
100,Not Valid
101,Not Valid
102,Not Valid
103,0.1619647741317749
104,Not Valid
105,Not Valid
106,0.7610534429550171
107,Not Valid
108,Not Valid
109,0.2586708962917328
110,Not Valid
111,Not Valid
112,Not Valid
113,Not Valid
114,Not Valid
115,Not Valid
116,0.7263826727867126
117,Not Valid
118,Not Valid
